Timestamp,Source Port,Destination Port,Packet Length,Anomaly Scores,Hour,DayOfWeek,Month,Packet_Length_Log,Severity Level_encoded,Packet_Size_Category_encoded,TimeOfDay_encoded,Protocol_TCP,Protocol_UDP,Packet Type_Data,Traffic Type_FTP,Traffic Type_HTTP,Attack Type_Intrusion,Attack Type_Malware,Attack Signature_Known Pattern B,Action Taken_Ignored,Action Taken_Logged,Network Segment_Segment B,Network Segment_Segment C,Log Source_Server,Source_IP_Type_Public,Dest_IP_Type_Public,Source_Port_Category_Registered,Dest_Port_Category_Registered
2023-05-30 06:33:58,31225.0,17616.0,503.0,28.67,6,1,5,6.222576268071369,1,1,3,False,False,True,False,True,False,True,True,False,True,False,False,True,True,True,True,True
2020-08-26 07:08:30,17245.0,48166.0,1174.0,51.5,7,2,8,7.069023426578259,1,0,2,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,True,True
2022-11-13 08:23:25,16811.0,53600.0,306.0,87.42,8,6,11,5.726847747587197,1,1,2,False,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False
2023-07-02 10:38:46,20018.0,32534.0,385.0,15.79,10,6,7,5.955837369464831,2,1,2,False,True,True,False,True,False,True,True,False,False,True,False,False,True,True,True,True
2023-07-16 13:11:07,6131.0,26646.0,1462.0,0.52,13,6,7,7.288244401020124,1,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True
2022-10-28 13:14:27,17430.0,52805.0,1423.0,5.76,13,4,10,7.261225091971921,2,0,0,False,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,False
2022-05-16 17:55:43,26562.0,17416.0,379.0,31.55,17,0,5,5.940171252720432,0,1,0,True,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True
2023-02-12 07:13:17,34489.0,20396.0,1022.0,54.05,7,6,2,6.930494765951626,0,0,2,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True
2023-06-27 11:02:56,56296.0,20857.0,1281.0,56.34,11,1,6,7.156176637480615,0,0,2,True,False,False,True,False,True,False,False,False,False,True,False,True,True,True,False,True
2021-08-15 22:29:04,37918.0,50039.0,224.0,16.51,22,6,8,5.41610040220442,2,1,1,False,True,True,False,True,False,True,True,False,False,False,False,True,True,True,True,False
2022-07-20 13:28:50,35538.0,35006.0,661.0,24.91,13,2,7,6.495265555937008,2,0,0,False,False,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True
2022-06-26 15:15:50,10903.0,36817.0,281.0,86.07,15,6,6,5.641907070938114,1,1,0,True,False,False,False,True,False,True,True,True,False,True,False,False,True,True,True,True
2020-09-30 21:35:31,53471.0,38048.0,64.0,74.2,21,2,9,4.174387269895637,2,2,1,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True
2021-01-13 02:30:18,43729.0,10845.0,1341.0,62.14,2,2,1,7.201916317531627,1,0,3,False,False,True,False,True,False,True,False,True,False,False,True,False,True,True,True,True
2023-02-01 13:17:17,47795.0,35243.0,913.0,72.65,13,2,2,6.81783057145415,0,0,0,False,True,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True
2023-09-15 20:35:21,24912.0,21176.0,425.0,91.56,20,4,9,6.054439346269371,2,1,1,True,False,True,False,False,True,False,True,False,True,False,True,False,True,True,True,True
2023-04-18 16:46:46,39934.0,5259.0,838.0,43.83,16,1,4,6.732210706467206,0,0,0,True,False,False,False,True,False,False,True,True,False,True,False,True,True,True,True,True
2023-02-21 07:02:55,16513.0,50583.0,969.0,40.46,7,1,2,6.877296071497429,1,0,2,True,False,True,False,True,False,False,False,False,True,True,False,False,True,True,True,False
2020-12-29 02:50:47,4510.0,26783.0,124.0,44.75,2,1,12,4.8283137373023015,0,1,3,True,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True
2020-07-27 00:00:53,55147.0,17595.0,461.0,13.19,0,0,7,6.135564891081739,0,1,4,True,False,True,False,True,False,False,True,True,False,True,False,True,True,True,False,True
2021-07-16 20:45:42,24907.0,37634.0,845.0,89.99,20,4,7,6.740519359606223,2,0,1,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True
2022-04-29 14:46:46,37998.0,1757.0,410.0,86.91,14,4,4,6.018593214496234,1,1,0,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True
2023-02-24 06:39:25,3133.0,46077.0,1425.0,72.25,6,4,2,7.262628600974241,0,0,3,False,True,True,False,False,False,False,False,False,True,False,False,True,True,True,True,True
2023-09-15 15:43:03,40832.0,28015.0,118.0,96.27,15,4,9,4.77912349311153,2,1,0,False,True,True,False,True,False,True,False,False,True,False,False,False,True,True,True,True
2023-10-06 06:53:51,39911.0,27107.0,1386.0,67.43,6,4,10,7.234898420314831,2,0,3,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
2023-10-06 02:37:35,23021.0,31279.0,433.0,89.86,2,4,10,6.073044534100405,1,1,3,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,True,True
2021-01-31 03:12:04,32552.0,15521.0,531.0,87.23,3,6,1,6.2766434893416445,0,0,3,False,True,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True
2020-08-28 09:54:45,56607.0,33023.0,282.0,44.4,9,4,8,5.645446897643238,1,1,2,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True
2021-05-29 15:33:51,64351.0,43307.0,1487.0,45.42,15,5,5,7.305188215393037,1,0,0,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True
2022-05-30 18:26:12,19954.0,11594.0,563.0,25.7,18,0,5,6.335054251498059,2,0,0,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True
2022-08-02 19:15:37,63062.0,49527.0,1313.0,69.2,19,1,8,7.1808311990445555,1,0,1,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False
2023-01-10 12:29:37,39208.0,61136.0,350.0,77.06,12,1,1,5.860786223465865,2,1,2,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False
2020-10-15 19:05:37,12932.0,47900.0,373.0,3.87,19,3,10,5.924255797414532,2,1,1,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True
2021-06-09 18:55:30,11482.0,16459.0,1155.0,25.93,18,2,6,7.052721049232323,1,0,0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True
