high_csat,wait_minutes,order_to_issue_minutes,connected_handling_time,log_item_price,channel_name,category,Sub-category,Product_category,Agent Shift,Tenure Bucket,Customer_City
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Wrong,Unknown,Evening,0-30,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,31-60,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,31-60,Unknown
0,72.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,16.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Morning,0-30,Unknown
0,3.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Order status enquiry,Unknown,Evening,31-60,Unknown
1,4.0,6862.0,427.0,6.214608098422191,Inbound,Returns,Wrong,LifeStyle,Night,>90,Other
0,5.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Morning,0-30,Unknown
1,15.0,20902.0,427.0,6.597145701886651,Inbound,Shopzilla Related,Other,Mobile,Morning,On Job Training,Other
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Morning,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,10.0,12614.5,427.0,6.597145701886651,Email,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,22.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Wrong,Unknown,Evening,On Job Training,Unknown
0,7.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Morning,On Job Training,Unknown
1,96.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
0,6.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
0,4.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Delayed,Unknown,Morning,On Job Training,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Service Centres Related,Unknown,Split,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Other,Unknown,Evening,>90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,0-30,Unknown
0,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Product Queries,Product Specific Information,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Fraudulent User,Unknown,Morning,On Job Training,Unknown
1,6.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Night,>90,Unknown
0,10.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,139.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Evening,0-30,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Installation/demo,Unknown,Morning,>90,Unknown
1,23.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Service Centres Related,Unknown,Morning,>90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Outcall,Product Queries,Product Specific Information,Unknown,Evening,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,14.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Missing,Unknown,Evening,61-90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Missing,Unknown,Morning,>90,Unknown
1,7.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Fraudulent User,Unknown,Evening,On Job Training,Unknown
1,35.0,12614.5,427.0,7.340186835320115,Outcall,Returns,Reverse Pickup Enquiry,LifeStyle,Morning,>90,Other
1,0.0,12614.5,427.0,6.597145701886651,Inbound,Refund Related,Refund Related Issues,Unknown,Evening,31-60,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Invoice request,Unknown,Morning,On Job Training,Unknown
1,16.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Installation/demo,Unknown,Evening,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Fraudulent User,Unknown,Morning,On Job Training,Unknown
0,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,74.0,11549.0,427.0,6.476972362889683,Outcall,Order Related,Order status enquiry,LifeStyle,Evening,61-90,Other
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Delayed,Unknown,Morning,31-60,Unknown
0,6.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,On Job Training,Unknown
0,62.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Evening,61-90,Unknown
